food ID,food,Caloric Value,Fat,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium
591,banana cream pie,3190,161.3,390.2,143,52.2,8.3,604.9,2.8
592,baked apple pie mcdonalds,91,4.4,12.3,4.9,0.9,0.6,0,0.076
593,sponge cake,187,2.7,36.4,0,4.6,0,107.1,0.1
594,yellow cake,245,9.9,36,0,3.6,0.5,36.7,0.2
595,shortcake,98,4,13.7,0,1.7,0,0.8,0.1
596,cherry pie,486,22,69.3,0,5,0,0,0.3
597,dutch apple pie,397,15.8,61,30.2,3,2.2,0,0.3
598,chocolate cake,352,14.3,50.7,0,5,1.5,55.1,0.3
599,marshmallow,64,0.033,16.3,11.5,0.4,0.013,0,0.039
600,sugar apple,72,0.2,18.2,0,1.6,3.4,0,0.045
601,toffee,67,3.9,7.8,7.6,0.1,0,12.5,0.044
602,vanilla fudge with nuts,123,3.9,21.1,20.1,0.8,0.3,3.7,0.075
603,peanuts chocolate coated,21,1.3,2,1.5,0.5,0.2,0.4,0.063
604,caramel with nuts chocolate coated,66,2.9,8.5,5.8,1.3,0.6,0,0.041
605,gingerbread,263,12.1,36.4,0,2.9,0,23.7,0.2
606,rolo nestle,24,1,0.2,0.078,0.009,0,0,0
607,vanilla fudge,108,1.5,23.2,22.6,0.3,0,4.2,0.04
608,halavah,328,15.1,42.3,0,8.7,3.2,0,0.1
609,praline,189,10.1,23.2,21.8,1.3,1.4,0,0.016
610,fruit juice bar,67,0.089,15.6,13.5,0.9,0.8,0,0.011
611,peanut brittle,138,5.4,20.2,14.5,2.1,0.7,3.4,0.1
612,butterscotch,21,0.2,4.8,4.3,0.079,0,0.5,0.039
613,chocolate coffee beans,155,9.4,15.6,14.4,2.1,1.6,5.7,0.006
614,nougat with almonds,56,0.2,12.9,11.7,0.5,0.5,0,0.061
615,carob,135,7.8,14.1,8.5,2,1,0.3,0.015
616,peanut butter fudge,62,1.1,12.4,11.7,0.6,0.1,0.5,0.085
617,sugar coated almonds,17,0.6,2.4,2.2,0.4,0.013,0,0.021
618,chocolate coated marshmallow,118,4.7,19,12.5,1.1,0.6,0,0.002
619,raisins chocolate coated,390,14.8,68.4,62.2,4.1,3.1,3,0.021
620,chewing gum sugarless,5,0.013,1.9,0,0,0.078,0,0.001
621,chewing gum,11,0.032,2.9,2,0,0.012,0,0.083
622,chocolate syrup,109,0.4,25.4,19.4,0.8,1,0,0.061
623,chocolate fudge syrup,67,1.7,12,6.6,0.9,0.5,0.2,0.084
624,m ms milk chocolate mars,207,8.9,29.9,26.7,1.8,1.2,5.9,0.018
625,milk chocolate with almonds,216,14.1,21.9,18,3.7,2.5,7.8,0.051
626,chocolate fudge,70,1.8,13,12.4,0.4,0.3,2.4,0.032
627,milk chocolate with rice cereal,0,0,0,0,0,0,0,0
628,m ms peanut chocolate mars,93,4.7,10.9,9.1,1.7,0.7,1.4,0.017
629,dark chocolate,165,9.7,18,13.8,1.5,2.2,2.1,0.013
630,chocolate semisweet,806,50.4,107.4,91.6,7.1,9.9,0,0.042
631,after eight mints nestle,36,1,6.7,5.6,0.1,0.2,0,0.025
632,milk chocolate,37,2.1,4.2,3.6,0.5,0.2,1.6,0.045
633,white chocolate,162,9.6,17.8,17.7,1.8,0.081,6.3,0.009
634,chocolate,208,14,24.8,21.1,1.6,2.3,0,0.001
635,twix mars,146,7.2,18.8,14,1.4,0.3,2,0.064
636,kit kat nestle,62,3.3,7.6,6.5,0.7,0.2,1.1,0.022
637,snickers mars,280,13.6,35.1,28.8,4.3,1.3,7.4,0.1
638,milky way mars,264,10,41.3,34.6,2.3,0.6,5.2,0.021
639,clif bar,235,4,44.5,21.5,10,5,0,0.1
640,gum drops,18,0.042,4.4,3.5,0,0,0,0.008
641,skittles wild berry mars,249,2.6,56.3,47.1,0.1,0,0,0.036
642,skittles original mars,251,2.7,56.3,47,0.1,0,0,0.025
643,skittles tropical mars,251,2.7,56.3,47,0.1,0,0,0.095
644,fruit leather,52,0.4,12,6.9,0.029,0,0,0
645,taffy,60,0.5,13.7,10.3,0.087,0,1.4,0.028
646,eisbonbons mac iver,23,0,0,0,0,0,0,0
647,caramels,39,0.8,7.8,6.6,0.5,0,0.7,0.015
648,hard candy,24,0.067,5.9,3.8,0,0,0,0.021
649,jellybeans,4,0.043,1,0.8,0,0.083,0,0.076
650,jellies,56,0.069,14.7,10.8,0.005,0.2,0,0.016
651,wheat germ toasted,115,3.2,14.9,2.3,8.7,4.5,0,0.06
652,crispy brown rice,124,1.1,27.5,2.9,2.3,2.3,0,0.086
653,bran flakes asda,109,0.6,0.2,0,0,0,0,0
654,amaranth cooked,251,3.9,46,0,9.3,5.2,0,0.095
655,triticale,645,4,138.5,0,25.1,0,0,0.049
656,barley raw,42,0.1,9.3,0.094,1.2,1.9,0,0.016
657,bulgur dry,171,0.7,37.9,0.2,6.1,9.2,0,0.071
658,cottonseed kernels roasted,754,54.1,32.6,0,48.6,8.2,0,0.073
659,rice bran,373,24.6,58.6,1.1,15.8,24.8,0,0.036
660,chaptti roti indian bread,491,2.5,0.089,68.4,7,0,0,0
661,quinoa cooked,222,3.6,39.4,1.6,8.1,5.2,0,0.026
662,dar vida swiss original,116,3.1,0.5,0,0,0,0,0
663,teff cooked,255,1.6,50,0,9.8,7.1,0,0.053
664,couscous dry,650,1.1,134,0,22.1,8.7,0,0.031
665,weetabix weetabix,2078,11.5,0,0,0,0,0,0
666,oat bran cooked,88,1.9,25.1,0,7,5.7,0,0.082
667,buckwheat cooked,155,1,33.5,1.5,5.7,4.5,0,0.053
668,millet puffed,74,0.7,16.8,0.1,2.7,0.6,0,0.076
669,oat bran raw,23,0.5,4.9,0.1,1.3,1.2,0,0.036
670,popcorn oil popped,64,4.8,5,0.027,0.8,0.9,0,0.018
671,kamut cooked,251,1.6,52.4,0,11.1,6.7,0,0.038
672,wheat bran,125,2.5,37.4,0.2,9,24.8,0,0.015
673,cheese popcorn,58,3.7,5.7,0,1,1.1,1.2,0.002
674,raisin bran crunch kelloggs,90,0.5,21.2,9,1.9,0,0,0
675,couscous cooked,176,0.3,36.5,0.2,6,2.2,0,0.054
676,multigrain cheerios general mills,4,0.005,1,0.2,0.038,0.1,0.072,0
677,bulgur cooked,151,0.4,33.8,0.2,5.6,8.2,0,0.049
678,popcorn air popped,31,0.4,6.2,0.086,1,1.2,0,0.016
679,teff raw,708,4.6,141.1,3.6,25.7,15.4,0,0.053
680,spelt cooked,246,1.6,51.3,0,10.7,7.6,0,0.041
